,title,price,condition,bids,sold date,postage
43,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel (90-MXGKX0-A0UAYZ) Motherboard",70.0,Pre-owned,*Buy Now*,08-Jul 10:27,5.57
44,ASRock Z77 Extreme6 LGA 1155 Socket H2 Intel Motherboard,72.0,Pre-owned,28 bids,06-Jul 21:06,15.00
46,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel (90-MXGKX0-A0UAYZ) Motherboard",99.99,Pre-owned,*Buy Now*,02-Jul 08:03,Free
47,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel (90-MXGKX0-A0UAYZ) Motherboard",52.0,Pre-owned,5 bids,26-Jun 17:53,Free
48,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel (90-MXGKX0-A0UAYZ) Motherboard",82.0,Pre-owned,26 bids,22-Jun 12:57,5.57
49,ASROCK Z77 Extreme4 SOCKET 1155 MOTHERBOARD,114.95,Pre-owned,*Buy Now*,22-Jun 11:02,Free
50,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel (90-MXGKX0-A0UAYZ) Motherboard",93.0,Pre-owned,19 bids,20-Jun 15:25,5.50
51,Intel i5-2500k Processor & ASRock Z77 Extreme4 Motherboard BUNDLE,99.0,Pre-owned,5 bids,19-Jun 19:01,4.10
53,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel (90-MXGKX0-A0UAYZ) Motherboard",119.99,Pre-owned,*Buy Now*,08-Jun 17:43,Free
54,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel Motherboard",51.0,Pre-owned,14 bids,06-Jun 18:04,5.57
55,ASRock Z77 Extreme3 LGA 1155 Intel Z77 DDR3 ATX DVI HDMI USB3.0 2K Motherboard,94.09,Pre-owned,*Buy Now*,03-Jun 21:51,Free
57,"AsRock Z77 Extreme4 Motherboard (Socket 1155, Intel Z77, Up to 32GB DDR3, ATX)",65.0,Pre-owned,9 bids,31-May 22:29,3.50
58,ASROCK EXTREME11 Z77 LGA 1155 MOTHERBOARD + I/O SHIELD + MANUAL,73.0,Pre-owned,38 bids,31-May 20:06,Free
60,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel (90-MXGKX0-A0UAYZ) Motherboard",119.99,Pre-owned,*Buy Now*,27-May 08:43,Free
61,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel (90-MXGKX0-A0UAYZ) Motherboard",110.0,Pre-owned,*Buy Now*,26-May 11:43,Free
0,Original ASRock Z77 Extreme4 Intel Z77 Motherboard LGA 1155 DDR3,58.0,Refurbished,1 bid,26-Aug 19:11,5.57
1,Original ASRock Z77 Extreme4 Intel Z77 Motherboard LGA 1155 DDR3,99.1,Refurbished,*Buy Now*,26-Aug 13:46,Free
2,"ASRock Z77 Extreme6, LGA 1155, Mobo with intel i5 - 3570k and 32gb ram hyperX",146.0,Pre-owned,1 bid,22-Aug 21:26,9.00
3,asrock z77 extreme4,73.0,Pre-owned,10 bids,17-Aug 10:54,5.57
4,"ASRock Z77 Extreme4 LGA 1155 Motherboard, 3.3GHz Intel core I5-2500k,4096 Memory",70.0,Pre-owned,4 bids,17-Aug 09:31,4.10
5,ASRock Z77 Extreme6 LGA 1155 Socket H2 Intel Motherboard,102.0,Opened – never used,11 bids,15-Aug 18:07,3.70
6,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel (90-MXGKX0-A0UAYZ) Motherboard",71.0,Pre-owned,11 bids,11-Aug 11:39,5.57
8,ASROCK Z77 Extreme4  SOCKET 1155 MOTHERBOARD,45.0,Pre-owned,33 bids,07-Aug 17:38,Free
9,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel (90-MXGKX0-A0UAYZ) Motherboard",67.99,Pre-owned,14 bids,05-Aug 09:15,6.00
10,"ASRock Z77 Extreme6, LGA 1155/Socket H2, Intel Motherboard",70.0,Pre-owned,14 bids,04-Aug 17:11,9.02
11,"ASRock Z77 Extreme6, LGA 1155/Socket H2, Intel (90-MXGJK0-A0UAYZ) Motherboard",52.0,Pre-owned,19 bids,02-Aug 13:29,10.00
12,ASROCK Z77 Extreme4  SOCKET 1155 MOTHERBOARD,114.95,Pre-owned,*Buy Now*,11-Jul 18:44,Free
13,"ASRock Z77 Extreme4, LGA 1155/Socket H2, Intel (90-MXGKX0-A0UAYZ) Motherboard",70.0,Pre-owned,*Buy Now*,08-Jul 10:27,5.57
